 查詢註冊日期區間會員總數：2016/09/06-2016/09/13
姓別,數量
未填 ,145
女,18
男,4
婚姻別,數量
未填 ,150
已婚,10
單身,7
教育別,數量
單身,159
未填 ,3
大學,2
研究所,2
高職,1
職業別,數量
專科,160
未填 ,1
其他,5
服務業,1
區域別,數量
金融業,146
未填 ,4
台北市,4
新北市,1
基隆市,2
桃園市,2
新竹市,3
台中市,1
嘉義市,1
雲林縣,1
台南市,1
高雄市,1
生肖別<,數量
宜蘭縣,145
未填 ,1
牛,2
羊,5
狗,3
虎,2
馬,2
猴,2
鼠,1
豬,1
龍,3
年齡<,數量
雞,2
19,1
20,3
22,2
23,2
25,3
27,3
28,1
29,5
30,4
31,5
32,2
33,2
34,2
35,1
36,7
37,4
38,2
39,1
40,2
41,1
42,1
43,4
44,1
45,2
46,2
47,1
48,1
50,1
51,2
52,1
54,2
55,2
62,1
105,1
120,90
是否購買,數量

